"plant_ID","binomial_acc_name","author_acc_name","is_hybrid","AnimalFood","EnvironmentalUses","Fuels","GeneSources","HumanFood","InvertebrateFood","Materials","Medicines","Poisons","SocialUses","Totals"
186,"Acacia ulicifolia","(Salisb.) Court",FALSE,0,0,0,0,0,0,1,0,0,0,1
187,"Acacia verniciflua","A.Cunn.",FALSE,0,0,0,0,0,0,1,0,0,0,1
188,"Acacia victoriae","Benth.",FALSE,1,1,0,0,1,0,0,0,0,0,3
189,"Acaciella angustissima","(Mill.) Britton & Rose",FALSE,1,1,0,0,0,0,1,1,0,0,4
190,"Acaciella glauca","(L.) L.Rico",FALSE,0,1,0,0,0,0,0,0,0,0,1
191,"Acaciella villosa","(Sw.) Britton & Rose",FALSE,0,1,0,0,0,0,0,0,0,0,1
192,"Acaena anserinifolia","(J.R.Forst. & G.Forst.) J.B.Armstr.",FALSE,0,0,0,1,0,0,0,1,0,0,2
193,"Acaena argentea","Ruiz & Pav.",FALSE,0,0,0,0,0,0,0,1,0,0,1
194,"Acaena cylindristachya","Ruiz & Pav.",FALSE,0,0,0,0,0,0,0,1,0,0,1
195,"Acaena lucida","(Aiton) Vahl",FALSE,0,1,0,0,0,0,0,0,0,0,1
196,"Acaena magellanica","(Lam.) Vahl",FALSE,0,0,0,0,0,0,0,1,0,0,1
197,"Acaena microphylla","Hook.f.",FALSE,0,1,0,0,0,0,0,0,0,0,1
198,"Acaena myriophylla","Lindl.",FALSE,0,1,0,0,0,0,0,1,0,0,2
199,"Acaena novae-zelandiae","Acaena novae-zelandiae Kirk",FALSE,0,0,0,1,0,0,0,1,0,0,2
200,"Acaena ovalifolia","(Vahl) Ruiz & Pav.",FALSE,0,0,0,0,0,0,0,1,0,0,1
201,"Acaena pinnatifida","Ruiz & Pav.",FALSE,0,0,0,0,0,0,0,1,0,0,1
202,"Acaena sericea","J.Jacq.",FALSE,0,0,0,0,0,0,0,1,0,0,1
203,"Acaena splendens","Hook. & Arn.",FALSE,0,0,0,0,0,0,0,1,0,0,1
204,"Acalypha allenii","Hutch.",FALSE,0,0,0,0,0,0,0,1,0,0,1
205,"Acalypha alopecuroidea","Jacq.",FALSE,0,0,0,0,0,0,0,1,0,0,1
206,"Acalypha ambigua","Pax",FALSE,0,0,0,0,0,0,0,1,0,0,1
207,"Acalypha amentacea","Roxb.",FALSE,1,1,1,0,1,0,1,1,0,1,7
208,"Acalypha angustata","Sond.",FALSE,0,0,0,0,0,0,0,1,0,0,1
209,"Acalypha australis","L.",FALSE,0,0,0,0,0,0,0,1,0,0,1
210,"Acalypha bipartita","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
211,"Acalypha brachystachya","Hornem.",FALSE,0,0,0,0,0,0,0,1,0,0,1
212,"Acalypha caperonioides","Baill.",FALSE,0,0,0,0,0,0,0,1,0,0,1
213,"Acalypha capitata","Willd.",FALSE,0,0,0,0,0,0,0,1,0,0,1
214,"Acalypha caturus","Blume",FALSE,0,0,0,0,1,0,1,0,0,1,3
215,"Acalypha chirindica","S.Moore",FALSE,0,0,0,0,0,0,0,1,0,0,1
216,"Acalypha ciliata","Forssk.",FALSE,1,0,0,0,1,0,1,1,0,1,5
217,"Acalypha communis","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
218,"Acalypha crenata","Hochst. ex A.Rich.",FALSE,1,0,0,0,0,0,0,0,0,0,1
219,"Acalypha decaryana","Leandri",FALSE,0,0,0,0,0,0,0,1,0,0,1
220,"Acalypha depressinervia","(Kuntze) K.Schum.",FALSE,0,0,0,0,0,0,0,1,0,0,1
221,"Acalypha diversifolia","Jacq.",FALSE,0,0,0,0,0,0,0,1,0,0,1
222,"Acalypha emirnensis","Baill.",FALSE,0,0,0,0,0,0,1,0,0,0,1
223,"Acalypha engleri","Pax",FALSE,0,0,0,0,0,0,0,1,0,0,1
224,"Acalypha fasciculata","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
225,"Acalypha filiformis","Poir.",FALSE,0,0,0,0,0,0,1,1,0,0,2
226,"Acalypha fruticosa","Forssk.",FALSE,1,0,0,0,1,0,1,1,0,1,5
227,"Acalypha glabrata","Thunb.",FALSE,0,0,0,0,1,0,1,1,0,0,3
228,"Acalypha glandulifolia","Buchinger & Meisn. ex C.Krauss",FALSE,0,0,0,0,0,0,0,1,0,0,1
229,"Acalypha grandis","Benth.",FALSE,0,0,0,0,0,0,1,1,0,0,2
230,"Acalypha guatemalensis","Pax & K.Hoffm.",FALSE,0,0,0,0,0,0,0,1,0,0,1
231,"Acalypha hellwigii","Warb.",FALSE,1,1,0,0,1,0,1,1,0,1,6
